Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743509147561,800,800,800,1099,1099,1171,1173,1815,800,800,4068,1162,11.36363697052002,11.627907752990723,4.761904716491699,4.761904716491699,4.651162624359131,4.761904716491699,4.651162624359131,2.4390242099761963,4.651162624359131,4.651162624359131,6.976744651794434,6.976744651794434,2593.8812866210938,20344.922424316406,16804.062927246094,605.0927734375,16565350400,4294963200,2673123328,897024
199,1743509147561,800,800,800,1099,1099,1171,1173,1815,800,800,4068,1162,11.36363697052002,11.627907752990723,4.761904716491699,4.761904716491699,4.651162624359131,4.761904716491699,4.651162624359131,2.4390242099761963,4.651162624359131,4.651162624359131,6.976744651794434,6.976744651794434,2593.8820190429688,20344.925720214844,16804.065368652344,605.0927734375,16565350400,4294963200,2673123328,897024
200,1743509147761,800,800,800,1099,1099,1171,1173,1815,800,800,4068,1162,5,0,20,0,19.047618865966797,0,0,0,0,23.809524536132813,50,5,2594.046142578125,20348.59130859375,16807.51434326172,605.0927734375,16565350400,4294963200,2747899904,897024
200,1743509147961,800,800,800,1099,1099,1171,1173,1815,800,800,4068,1162,55,10,19.047618865966797,10,40,19.047618865966797,35,20,20,22.22222328186035,20,25,2594.276611328125,20355.87615966797,16814.454956054688,605.14501953125,16565350400,4294963200,2835197952,897024
200,1743509148161,800,800,800,1099,1099,1171,1173,1815,800,800,4068,1162,26.3157901763916,5.555555820465088,26.3157901763916,15.789472579956055,25,33.333335876464844,5.263157844543457,10.526315689086914,40,20,26.3157901763916,57.142860412597656,2594.5997314453125,20363.04217529297,16821.16082763672,605.3189086914063,16565350400,4294963200,2952802304,897024
200,1743509148361,800,800,800,1099,1099,1171,1173,1815,800,800,4068,1162,15.789472579956055,20,10,14.285715103149414,10.526315689086914,21.052631378173828,10.526315689086914,10,55,25,10,21.052631378173828,2594.8886108398438,20367.485412597656,16825.21990966797,605.4497680664063,16565350400,4294963200,3017551872,897024
200,1743509148562,800,800,800,1099,1099,1171,1173,1815,800,800,4068,1162,10.526315689086914,0,0,5.555555820465088,9.523809432983398,9.523809432983398,4.761904716491699,5,0,9.523809432983398,0,0,2595.0625,20367.899841308594,16825.4345703125,605.4988403320313,16565350400,4294963200,3017551872,897024
200,1743509148762,800,800,800,1099,1099,1171,1173,1815,800,800,4068,1162,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,2595.1951904296875,20368.05743408203,16825.497009277344,605.5059814453125,16565350400,4294963200,3017551872,897024
200,1743509148963,800,800,800,1099,1099,1171,1173,1815,800,800,4068,1162,0,0,0,0,0,0,0,0,0,0,0,0,2595.3130493164063,20368.122192382813,16825.517578125,605.5059814453125,16565350400,4294963200,3017809920,897024
200,1743509149163,800,800,800,1099,1099,1171,1173,1815,800,800,4068,1162,5,5,0,0,0,0,0,0,4.761904716491699,0,0,0,2595.4312133789063,20368.25518798828,16825.592712402344,605.5059814453125,16565350400,4294963200,3017809920,897024
