Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743514269044,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,9.090909004211426,4.545454502105713,6.6666669845581055,4.651162624359131,6.6666669845581055,4.545454502105713,6.6666669845581055,4.545454502105713,13.333333969116211,6.6666669845581055,4.545454502105713,6.6666669845581055,6174.1962890625,41791.139221191406,34970.329650878906,1513.2553100585938,16565350400,4294963200,2718298112,897024
199,1743514269044,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,9.090909004211426,4.545454502105713,6.6666669845581055,4.651162624359131,6.6666669845581055,4.545454502105713,6.6666669845581055,4.545454502105713,13.333333969116211,6.6666669845581055,4.545454502105713,6.6666669845581055,6174.197021484375,41791.14245605469,34970.33154296875,1513.2553100585938,16565350400,4294963200,2718298112,897024
199,1743514269244,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,68.42105102539063,5,0,0,21.052631378173828,0,0,20,0,0,0,0,6174.3607177734375,41794.27062988281,34973.23815917969,1513.2553100585938,16565350400,4294963200,2788163584,897024
200,1743514269444,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,30.000001907348633,10.526315689086914,5.263157844543457,33.333335876464844,42.85714340209961,31.57894515991211,10,45,10.526315689086914,36.842105865478516,20,5,6174.5767822265625,41801.37335205078,34980.050231933594,1513.2710571289063,16565350400,4294963200,2877710336,897024
200,1743514269644,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,15.789472579956055,35,25,38.095237731933594,26.3157901763916,20,23.809524536132813,20,28.571430206298828,60.000003814697266,30.000001907348633,26.3157901763916,6174.9117431640625,41808.87463378906,34987.05419921875,1513.4819946289063,16565350400,4294963200,2998673408,897024
200,1743514269845,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,20,65,10,20,26.3157901763916,10.526315689086914,10,20,23.809524536132813,5.263157844543457,20,10.526315689086914,6175.212585449219,41813.398498535156,34991.186584472656,1513.6116943359375,16565350400,4294963200,3074158592,897024
200,1743514270045,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,5.555555820465088,5,5.263157844543457,5.555555820465088,14.285715103149414,0,0,10,0,0,0,0,6175.3955078125,41813.875,34991.44250488281,1513.6722412109375,16565350400,4294963200,3074658304,897024
200,1743514270246,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,6175.529113769531,41814.04931640625,34991.51599121094,1513.6793823242188,16565350400,4294963200,3074658304,897024
199,1743514270446,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,4.761904716491699,0,5,0,0,6175.648620605469,41814.13000488281,34991.5478515625,1513.6793823242188,16565350400,4294963200,3074916352,897024
200,1743514270646,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,9.090909004211426,0,4.761904716491699,0,10,0,0,0,0,6175.766296386719,41814.27111816406,34991.62902832031,1513.6793823242188,16565350400,4294963200,3074916352,897024
200,1743514270847,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,4.761904716491699,0,0,4.761904716491699,0,0,4.761904716491699,0,0,0,6175.902526855469,41814.46838378906,34991.72302246094,1513.68701171875,16565350400,4294963200,3074916352,897024
200,1743514271047,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6176.019104003906,41814.55841064453,34991.76989746094,1513.68701171875,16565350400,4294963200,3074916352,897024
200,1743514271248,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,6176.1446533203125,41814.710876464844,34991.83984375,1513.6939697265625,16565350400,4294963200,3074916352,897024
200,1743514271448,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,6176.264221191406,41814.781677246094,34991.86364746094,1513.6939697265625,16565350400,4294963200,3074916352,897024
200,1743514271649,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,30.000001907348633,10.526315689086914,5,5,30.000001907348633,0,5,5,0,0,6176.410400390625,41816.71435546875,34993.684326171875,1513.6939697265625,16565350400,4294963200,3079655424,897024
200,1743514271849,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,9.090909004211426,0,0,0,0,0,0,0,0,0,0,0,6176.5443115234375,41817.1025390625,34993.9677734375,1513.7037963867188,16565350400,4294963200,2985250816,897024
200,1743514272050,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6176.658447265625,41817.20129394531,34994.020263671875,1513.7037963867188,16565350400,4294963200,2985259008,897024
200,1743514272250,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,6176.7840576171875,41817.341552734375,34994.08367919922,1513.7107543945313,16565350400,4294963200,2985259008,897024
200,1743514272451,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6176.903503417969,41817.40625,34994.10272216797,1513.7107543945313,16565350400,4294963200,2985259008,897024
200,1743514272651,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6177.017639160156,41817.46661376953,34994.13055419922,1513.7107543945313,16565350400,4294963200,2985259008,897024
200,1743514272852,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6177.149230957031,41817.602600097656,34994.180908203125,1513.7176513671875,16565350400,4294963200,2985259008,897024
200,1743514273052,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6177.262451171875,41817.64990234375,34994.2001953125,1513.7176513671875,16565350400,4294963200,2985259008,897024
200,1743514273252,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,6177.388244628906,41817.88262939453,34994.34747314453,1513.7408447265625,16565350400,4294963200,2983985152,897024
199,1743514273453,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6177.507080078125,41817.94177246094,34994.36340332031,1513.7408447265625,16565350400,4294963200,2983985152,897024
199,1743514273653,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6177.657775878906,41819.027587890625,34995.27551269531,1513.801025390625,16565350400,4294963200,3014246400,897024
200,1743514273853,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,12.5,19.51219367980957,12.195121765136719,0,15.000000953674316,10,17.5,7.317072868347168,17.5,4.878048419952393,7.317072868347168,5,6177.92138671875,41823.84112548828,34999.65057373047,1513.981201171875,16565350400,4294963200,3097772032,897024
200,1743514274053,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,15.789472579956055,0,5,0,15.789472579956055,0,0,5.263157844543457,10,5,6178.108459472656,41824.63635253906,35000.16271972656,1514.0757446289063,16565350400,4294963200,3106029568,897024
200,1743514274254,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,20,6178.241271972656,41824.89892578125,35000.29119873047,1514.0757446289063,16565350400,4294963200,3103268864,897024
200,1743514274454,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,6178.357604980469,41824.9853515625,35000.337951660156,1514.0757446289063,16565350400,4294963200,3103268864,897024
200,1743514274655,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6178.4742431640625,41825.058044433594,35000.37237548828,1514.0757446289063,16565350400,4294963200,3103268864,897024
200,1743514274855,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,4.761904716491699,0,0,4.761904716491699,0,0,0,0,0,0,0,0,6178.591796875,41825.16491699219,35000.431884765625,1514.0757446289063,16565350400,4294963200,3103268864,897024
200,1743514275056,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6178.710388183594,41825.270751953125,35000.48864746094,1514.0757446289063,16565350400,4294963200,3103268864,897024
200,1743514275256,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,6178.823974609375,41825.328186035156,35000.514221191406,1514.0757446289063,16565350400,4294963200,3100237824,897024
200,1743514275457,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,15.789472579956055,0,0,0,0,0,0,0,0,0,0,6178.9459228515625,41826.107666015625,35001.23272705078,1514.0757446289063,16565350400,4294963200,3100237824,897024
200,1743514275657,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6179.060241699219,41826.184997558594,35001.27685546875,1514.075927734375,16565350400,4294963200,3095121920,897024
200,1743514275857,1000,800,1000,1605,3725,1321,1234,1574,1471,1214,800,1000,0,0,0,0,0,0,0,0,0,0,0,0,6179.175231933594,41826.242126464844,35001.301025390625,1514.075927734375,16565350400,4294963200,3095121920,897024
