Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743516343205,1565,1704,1696,1242,800,1432,2193,800,800,1008,3440,1487,11.36363697052002,6.818181991577148,9.090909004211426,6.818181991577148,4.545454502105713,6.818181991577148,9.302325248718262,4.545454502105713,6.818181991577148,6.818181991577148,6.6666669845581055,4.651162624359131,7657.917236328125,51401.97106933594,43117.15216064453,1979.1754760742188,16565350400,4294963200,2732658688,897024
199,1743516343205,1565,1704,1696,1242,800,1432,2193,800,800,1008,3440,1487,11.36363697052002,6.818181991577148,9.090909004211426,6.818181991577148,4.545454502105713,6.818181991577148,9.302325248718262,4.545454502105713,6.818181991577148,6.818181991577148,6.6666669845581055,4.651162624359131,7657.918029785156,51401.97430419922,43117.15460205078,1979.1754760742188,16565350400,4294963200,2732658688,897024
199,1743516343405,1565,1704,1696,1242,800,1432,2193,800,800,1008,3440,1487,4.761904716491699,0,0,45,20,5,35,0,0,0,0,18.18181800842285,7658.079650878906,51404.991149902344,43119.95361328125,1979.1754760742188,16565350400,4294963200,2802626560,897024
199,1743516343605,1565,1704,1696,1242,800,1432,2193,800,800,1008,3440,1487,5,60.000003814697266,28.571430206298828,35,21.052631378173828,14.285715103149414,33.333335876464844,0,10.526315689086914,10,15.789472579956055,31.57894515991211,7658.2845458984375,51411.60235595703,43126.307678222656,1979.1846313476563,16565350400,4294963200,2878222336,897024
200,1743516343805,1565,1704,1696,1242,800,1432,2193,800,800,1008,3440,1487,21.052631378173828,55,15.789472579956055,30.000001907348633,47.619049072265625,15.000000953674316,15.789472579956055,25,20,26.3157901763916,65,20,7658.5994873046875,51419.489685058594,43133.707763671875,1979.3721313476563,16565350400,4294963200,3001827328,897024
200,1743516344005,1565,1704,1696,1242,800,1432,2193,800,800,1008,3440,1487,20,30.000001907348633,0,5,15.000000953674316,19.047618865966797,15.000000953674316,73.68421173095703,20,15.000000953674316,10,15.000000953674316,7658.916198730469,51424.960205078125,43138.763122558594,1979.5185546875,16565350400,4294963200,3094941696,897024
200,1743516344206,1565,1704,1696,1242,800,1432,2193,800,800,1008,3440,1487,10.526315689086914,0,10,0,10.526315689086914,15.000000953674316,0,0,5.263157844543457,10,5.263157844543457,5,7659.1077880859375,51425.51153564453,43139.06066894531,1979.587890625,16565350400,4294963200,3095199744,897024
200,1743516344406,1565,1704,1696,1242,800,1432,2193,800,800,1008,3440,1487,0,0,9.523809432983398,0,0,0,0,0,0,0,4.761904716491699,0,7659.242370605469,51425.67626953125,43139.12823486328,1979.5948486328125,16565350400,4294963200,3095199744,897024
199,1743516344606,1565,1704,1696,1242,800,1432,2193,800,800,1008,3440,1487,0,0,0,0,0,0,0,0,0,0,0,0,7659.3631591796875,51425.75354003906,43139.155029296875,1979.5948486328125,16565350400,4294963200,3095199744,897024
200,1743516344807,1565,1704,1696,1242,800,1432,2193,800,800,1008,3440,1487,0,0,0,0,0,0,0,0,9.523809432983398,0,0,0,7659.480285644531,51425.927307128906,43139.27331542969,1979.5948486328125,16565350400,4294963200,3095199744,897024
