Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743517380352,991,981,800,989,800,998,995,988,934,800,980,999,9.090909004211426,11.36363697052002,2.3255813121795654,6.6666669845581055,4.545454502105713,4.545454502105713,2.3255813121795654,9.090909004211426,2.3255813121795654,6.6666669845581055,4.545454502105713,6.6666669845581055,8392.631042480469,55589.66729736328,46619.44091796875,2183.6834106445313,16565350400,4294963200,2734358528,897024
199,1743517380352,991,981,800,989,800,998,995,988,934,800,980,999,9.090909004211426,11.36363697052002,2.3255813121795654,6.6666669845581055,4.545454502105713,4.545454502105713,2.3255813121795654,9.090909004211426,2.3255813121795654,6.6666669845581055,4.545454502105713,6.6666669845581055,8392.631713867188,55589.67041015625,46619.44317626953,2183.6834106445313,16565350400,4294963200,2734358528,897024
200,1743517380552,991,981,800,989,800,998,995,988,934,800,980,999,4.761904716491699,28.571430206298828,0,5,47.619049072265625,15.000000953674316,0,4.545454502105713,0,20,0,0,8392.794982910156,55593.14221191406,46622.71795654297,2183.6834106445313,16565350400,4294963200,2813542400,897024
200,1743517380752,991,981,800,989,800,998,995,988,934,800,980,999,0,63.15789031982422,14.285715103149414,42.105262756347656,30.000001907348633,26.3157901763916,10,0,10.526315689086914,52.6315803527832,5,15.000000953674316,8393.005310058594,55599.84729003906,46629.10803222656,2183.692626953125,16565350400,4294963200,2896625664,897024
200,1743517380953,991,981,800,989,800,998,995,988,934,800,980,999,25,55,15.789472579956055,15.000000953674316,21.052631378173828,52.38095474243164,30.000001907348633,15.789472579956055,45,35,19.047618865966797,21.052631378173828,8393.33154296875,55607.27941894531,46636.02325439453,2183.9246826171875,16565350400,4294963200,3015778304,897024
200,1743517381153,991,981,800,989,800,998,995,988,934,800,980,999,15.000000953674316,70,14.285715103149414,10,5.263157844543457,5.263157844543457,20,15.000000953674316,19.047618865966797,28.571430206298828,10,20,8393.633483886719,55612.3671875,46640.72869873047,2184.0640869140625,16565350400,4294963200,3086217216,897024
200,1743517381353,991,981,800,989,800,998,995,988,934,800,980,999,0,0,0,5.555555820465088,0,5,0,5,10,10,5.263157844543457,10,8393.817199707031,55612.88903808594,46641.027893066406,2184.1248779296875,16565350400,4294963200,3086462976,897024
200,1743517381554,991,981,800,989,800,998,995,988,934,800,980,999,0,0,0,0,4.761904716491699,0,0,4.761904716491699,0,0,0,0,8393.95166015625,55613.06994628906,46641.10333251953,2184.1319580078125,16565350400,4294963200,3078205440,897024
199,1743517381754,991,981,800,989,800,998,995,988,934,800,980,999,0,0,0,0,0,0,0,0,0,0,0,0,8394.069885253906,55613.13000488281,46641.12023925781,2184.1319580078125,16565350400,4294963200,3078205440,897024
199,1743517381954,991,981,800,989,800,998,995,988,934,800,980,999,0,0,5,0,0,5,0,0,0,0,0,5,8394.185607910156,55613.2568359375,46641.19415283203,2184.1319580078125,16565350400,4294963200,3078205440,897024
