Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743517591953,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,11.904762268066406,9.302325248718262,4.651162624359131,4.651162624359131,4.761904716491699,4.761904716491699,4.761904716491699,4.651162624359131,2.3809523582458496,4.651162624359131,4.651162624359131,4.761904716491699,8544.805358886719,56612.16326904297,47476.51452636719,2246.756103515625,16565350400,4294963200,2747953152,897024
199,1743517591953,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,11.904762268066406,9.302325248718262,4.651162624359131,4.651162624359131,4.761904716491699,4.761904716491699,4.761904716491699,4.651162624359131,2.3809523582458496,4.651162624359131,4.651162624359131,4.761904716491699,8544.80615234375,56612.16619873047,47476.516845703125,2246.756103515625,16565350400,4294963200,2747953152,897024
199,1743517592153,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,15.789472579956055,0,0,0,0,0,15.000000953674316,4.761904716491699,10,47.619049072265625,23.809524536132813,8544.969299316406,56615.152893066406,47479.28674316406,2246.756103515625,16565350400,4294963200,2834710528,897024
200,1743517592353,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,15.789472579956055,0,0,0,0,0,15.000000953674316,4.761904716491699,10,47.619049072265625,23.809524536132813,8545.179504394531,56621.5302734375,47485.402770996094,2246.7651977539063,16565350400,4294963200,2915500032,897024
200,1743517592553,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,41.02564239501953,23.076923370361328,12.820513725280762,28.205129623413086,33.333335876464844,32.5,37.5,20.512821197509766,10.526315689086914,35,15.789472579956055,20.512821197509766,8545.515014648438,56629.33447265625,47492.6875,2246.9722290039063,16565350400,4294963200,3048173568,897024
200,1743517592754,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,5.263157844543457,66.66667175292969,10,15.000000953674316,14.285715103149414,5.263157844543457,20,20,20,10.526315689086914,28.571430206298828,10,8545.817443847656,56634.395935058594,47497.34259033203,2247.1121826171875,16565350400,4294963200,3121709056,897024
200,1743517592954,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,5.263157844543457,0,9.523809432983398,10,9.523809432983398,14.285715103149414,10,5,8545.997741699219,56634.87908935547,47497.61071777344,2247.1672973632813,16565350400,4294963200,3121709056,897024
200,1743517593155,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,8546.129577636719,56635.04168701172,47497.683532714844,2247.1741333007813,16565350400,4294963200,3121709056,897024
199,1743517593355,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,0,0,0,0,0,8546.249267578125,56635.11120605469,47497.70373535156,2247.1741333007813,16565350400,4294963200,3121709056,897024
200,1743517593555,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,8546.366638183594,56635.311279296875,47497.847717285156,2247.1741333007813,16565350400,4294963200,3121709056,897024
200,1743517593756,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,4.761904716491699,5,0,4.761904716491699,0,0,0,0,0,8546.501220703125,56635.5107421875,47497.94384765625,2247.181884765625,16565350400,4294963200,3121954816,897024
200,1743517593956,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,0,0,5,0,0,8546.617919921875,56635.60363769531,47497.99267578125,2247.181884765625,16565350400,4294963200,3121954816,897024
200,1743517594157,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,8546.74267578125,56635.73162841797,47498.050842285156,2247.1885986328125,16565350400,4294963200,3121954816,897024
200,1743517594357,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,4.761904716491699,0,0,0,0,0,5,0,0,0,0,0,8546.863952636719,56635.835205078125,47498.09460449219,2247.1885986328125,16565350400,4294963200,3122212864,897024
200,1743517594558,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,20,0,10,20,0,0,0,0,5.263157844543457,5,0,8547.00830078125,56637.47204589844,47499.629150390625,2247.1885986328125,16565350400,4294963200,3127209984,897024
199,1743517594758,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,8547.141784667969,56637.664978027344,47499.70983886719,2247.1982421875,16565350400,4294963200,3064295424,897024
200,1743517594959,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,8547.256164550781,56637.73779296875,47499.74548339844,2247.1982421875,16565350400,4294963200,3064299520,897024
200,1743517595159,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,0,0,0,0,0,8547.380859375,56637.8544921875,47499.79479980469,2247.2052612304688,16565350400,4294963200,3064299520,897024
200,1743517595359,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,8547.50048828125,56637.93566894531,47499.8251953125,2247.2052612304688,16565350400,4294963200,3064299520,897024
200,1743517595560,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,0,0,0,0,0,8547.614990234375,56638.00341796875,47499.855712890625,2247.2052612304688,16565350400,4294963200,3064266752,897024
200,1743517595760,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,8547.746215820313,56638.154296875,47499.91784667969,2247.2122192382813,16565350400,4294963200,3064266752,897024
200,1743517595961,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,0,0,0,0,0,8547.85888671875,56638.195556640625,47499.93273925781,2247.2122192382813,16565350400,4294963200,3064266752,897024
200,1743517596161,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,8547.984191894531,56638.31365966797,47499.985107421875,2247.2189331054688,16565350400,4294963200,3058212864,897024
199,1743517596361,999,1000,800,800,1006,800,999,1000,1000,1000,999,1000,0,0,0,0,0,0,0,0,0,0,0,0,8548.103942871094,56638.39697265625,47500.01678466797,2247.2189331054688,16565350400,4294963200,3054276608,897024
