Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743519010080,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,13.333333969116211,15.555556297302246,6.6666669845581055,6.6666669845581055,6.6666669845581055,6.6666669845581055,6.6666669845581055,4.545454502105713,6.818181991577148,6.6666669845581055,6.6666669845581055,6.5217390060424805,9556.710876464844,62844.502990722656,52731.707458496094,2546.2698364257813,16565350400,4294963200,2746494976,897024
199,1743519010080,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,13.333333969116211,15.555556297302246,6.6666669845581055,6.6666669845581055,6.6666669845581055,6.6666669845581055,6.6666669845581055,4.545454502105713,6.818181991577148,6.6666669845581055,6.6666669845581055,6.5217390060424805,9556.711547851563,62844.506286621094,52731.7099609375,2546.2698364257813,16565350400,4294963200,2746494976,897024
200,1743519010280,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,23.809524536132813,0,0,20,0,0,9.523809432983398,5,0,0,65,9556.875915527344,62848.14324951172,52735.12628173828,2546.2698364257813,16565350400,4294963200,2822103040,897024
200,1743519010480,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,10,36.842105865478516,9.523809432983398,35,14.285715103149414,14.285715103149414,10.526315689086914,23.809524536132813,71.42857360839844,23.809524536132813,38.095237731933594,23.809524536132813,9557.108093261719,62855.58367919922,52742.23474121094,2546.3253173828125,16565350400,4294963200,2891034624,897024
200,1743519010680,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,21.052631378173828,45,21.052631378173828,20,42.105262756347656,15.789472579956055,26.3157901763916,20,26.3157901763916,60.000003814697266,30.000001907348633,11.111111640930176,9557.434753417969,62863.08215332031,52749.278076171875,2546.49462890625,16565350400,4294963200,3036495872,897024
200,1743519010880,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,10.526315689086914,5,18.18181800842285,10,60.000003814697266,15.789472579956055,28.571430206298828,14.285715103149414,10.526315689086914,5.555555820465088,15.000000953674316,14.285715103149414,9557.731201171875,62867.95153808594,52753.756591796875,2546.63427734375,16565350400,4294963200,3102707712,897024
200,1743519011081,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,5.263157844543457,0,10.526315689086914,10,9.523809432983398,4.761904716491699,5,9557.911315917969,62868.419006347656,52754.01104736328,2546.6889038085938,16565350400,4294963200,3103481856,897024
200,1743519011281,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,4.761904716491699,5,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,9558.044006347656,62868.571228027344,52754.06945800781,2546.6964111328125,16565350400,4294963200,3103113216,897024
200,1743519011482,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9558.164245605469,62868.64294433594,52754.09405517578,2546.6964111328125,16565350400,4294963200,3103113216,897024
200,1743519011682,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,9.523809432983398,0,0,9558.281188964844,62868.77038574219,52754.169006347656,2546.6964111328125,16565350400,4294963200,3103113216,897024
200,1743519011883,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,4.761904716491699,0,0,5,0,0,0,0,0,0,9558.415893554688,62868.982421875,52754.2724609375,2546.70361328125,16565350400,4294963200,3103358976,897024
200,1743519012083,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,9558.53271484375,62869.06921386719,52754.31658935547,2546.70361328125,16565350400,4294963200,3102474240,897024
200,1743519012284,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9558.6591796875,62869.216369628906,52754.38610839844,2546.710693359375,16565350400,4294963200,3102474240,897024
200,1743519012484,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9558.778503417969,62869.287109375,52754.4111328125,2546.710693359375,16565350400,4294963200,3102474240,897024
200,1743519012685,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,5,0,25,9.523809432983398,0,0,4.761904716491699,0,5,15.000000953674316,23.809524536132813,9558.9248046875,62870.96594238281,52755.978515625,2546.710693359375,16565350400,4294963200,3118051328,897024
200,1743519012885,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,9.523809432983398,0,0,0,0,0,0,0,0,0,0,0,9559.058837890625,62871.213439941406,52756.12609863281,2546.7200927734375,16565350400,4294963200,3044864000,897024
200,1743519013086,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9559.172241210938,62871.258361816406,52756.14245605469,2546.7200927734375,16565350400,4294963200,3044864000,897024
199,1743519013286,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,5,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,9559.297790527344,62871.381896972656,52756.194763183594,2546.7273559570313,16565350400,4294963200,3044806656,897024
200,1743519013486,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9559.418640136719,62871.46142578125,52756.22625732422,2546.7273559570313,16565350400,4294963200,3044806656,897024
200,1743519013687,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9559.534118652344,62871.534240722656,52756.261169433594,2546.7273559570313,16565350400,4294963200,3040935936,897024
199,1743519013887,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9559.66552734375,62871.66857910156,52756.31036376953,2546.734375,16565350400,4294963200,3040935936,897024
200,1743519014087,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9559.778869628906,62871.715881347656,52756.32763671875,2546.734375,16565350400,4294963200,3040935936,897024
200,1743519014288,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,9559.904479980469,62871.83361816406,52756.377380371094,2546.7412109375,16565350400,4294963200,3040935936,897024
199,1743519014488,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9560.023193359375,62871.896911621094,52756.39794921875,2546.7412109375,16565350400,4294963200,3037155328,897024
200,1743519014688,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9560.168640136719,62873.33984375,52757.68933105469,2546.7711791992188,16565350400,4294963200,3089313792,897024
200,1743519014889,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,12.5,7.500000476837158,15.000000953674316,5,7.500000476837158,7.317072868347168,17.073171615600586,17.948719024658203,20,7.894736289978027,10.256410598754883,5.128205299377441,9560.432006835938,62878.40954589844,52762.183349609375,2547.0695190429688,16565350400,4294963200,3131953152,897024
200,1743519015089,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,10,10,0,10.526315689086914,0,33.333335876464844,36.842105865478516,0,0,0,9560.628845214844,62879.088928222656,52762.579528808594,2547.1492309570313,16565350400,4294963200,3136081920,897024
200,1743519015289,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,0,0,9560.751342773438,62879.23065185547,52762.6201171875,2547.1492309570313,16565350400,4294963200,3136077824,897024
200,1743519015490,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,5,0,0,0,0,0,0,0,0,0,0,0,9560.867614746094,62879.32360839844,52762.66906738281,2547.1492309570313,16565350400,4294963200,3136077824,897024
200,1743519015690,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9560.984069824219,62879.39532470703,52762.70233154297,2547.1492309570313,16565350400,4294963200,3136077824,897024
200,1743519015891,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9561.10205078125,62879.517150878906,52762.76824951172,2547.1492309570313,16565350400,4294963200,3136077824,897024
200,1743519016091,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,9561.2197265625,62879.62023925781,52762.82373046875,2547.1492309570313,16565350400,4294963200,3136077824,897024
200,1743519016291,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,9.523809432983398,0,0,0,0,0,0,0,0,0,9561.340637207031,62879.95245361328,52763.10498046875,2547.1492309570313,16565350400,4294963200,3136069632,897024
200,1743519016492,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,20,0,0,0,0,0,0,0,0,9561.470947265625,62880.781005859375,52763.87316894531,2547.1492309570313,16565350400,4294963200,3136069632,897024
200,1743519016693,999,1000,3731,3911,1806,1000,800,800,999,1000,3919,800,0,0,0,0,0,0,0,0,0,0,0,0,9561.586364746094,62880.869201660156,52763.922302246094,2547.1493530273438,16565350400,4294963200,3136069632,897024
