Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743519920105,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,13.953489303588867,6.976744651794434,7.142857551574707,7.142857551574707,4.761904716491699,7.142857551574707,7.142857551574707,4.878048419952393,4.878048419952393,6.976744651794434,13.953489303588867,4.761904716491699,10201.216125488281,66709.69635009766,55989.62139892578,2728.3362426757813,16565350400,4294963200,2734895104,897024
199,1743519920105,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,13.953489303588867,6.976744651794434,7.142857551574707,7.142857551574707,4.761904716491699,7.142857551574707,7.142857551574707,4.878048419952393,4.878048419952393,6.976744651794434,13.953489303588867,4.761904716491699,10201.216796875,66709.69958496094,55989.623474121094,2728.3362426757813,16565350400,4294963200,2734895104,897024
200,1743519920305,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,65,0,0,10,5,0,0,14.285715103149414,0,0,15.000000953674316,20,10201.384704589844,66714.65447998047,55994.363708496094,2728.34033203125,16565350400,4294963200,2826125312,897024
200,1743519920505,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,10,15.789472579956055,19.047618865966797,25,15.000000953674316,30.000001907348633,5.263157844543457,70,70,5,31.57894515991211,25,10201.633728027344,66722.3090209961,56001.602111816406,2728.4500732421875,16565350400,4294963200,2935316480,897024
200,1743519920706,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,16.666667938232422,10.526315689086914,27.77777862548828,28.571430206298828,21.052631378173828,10.526315689086914,30.000001907348633,10.526315689086914,15.789472579956055,20,90,30.000001907348633,10201.964721679688,66729.70098876953,56008.541748046875,2728.6129760742188,16565350400,4294963200,3055980544,897024
199,1743519920906,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,20,19.047618865966797,10,10.526315689086914,10.526315689086914,9.523809432983398,15.000000953674316,10,30.000001907348633,30.000001907348633,21.052631378173828,5,10202.238891601563,66733.57153320313,56012.064697265625,2728.7339477539063,16565350400,4294963200,3106054144,897024
200,1743519921106,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,10,5,0,5.263157844543457,14.285715103149414,0,0,0,0,0,10,0,10202.402038574219,66733.93133544922,56012.246337890625,2728.7734375,16565350400,4294963200,3106054144,897024
200,1743519921307,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,10202.53564453125,66734.09893798828,56012.31787109375,2728.7802124023438,16565350400,4294963200,3106144256,897024
199,1743519921507,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,5,0,0,0,0,0,0,0,0,0,0,0,10202.654541015625,66734.20446777344,56012.36975097656,2728.7802124023438,16565350400,4294963200,3106144256,897024
200,1743519921707,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,5,0,0,5,4.761904716491699,0,0,0,0,4.761904716491699,0,0,10202.779968261719,66734.46899414063,56012.55145263672,2728.78759765625,16565350400,4294963200,3106144256,897024
200,1743519921908,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,10202.907836914063,66734.59442138672,56012.603271484375,2728.78759765625,16565350400,4294963200,3106390016,897024
200,1743519922108,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,5,0,0,0,0,0,0,0,0,0,4.761904716491699,0,10203.022827148438,66734.68231201172,56012.648376464844,2728.78759765625,16565350400,4294963200,3106390016,897024
200,1743519922309,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,4.761904716491699,0,5,0,0,0,0,0,0,0,0,10203.15087890625,66734.8099975586,56012.700622558594,2728.7946166992188,16565350400,4294963200,3106390016,897024
199,1743519922509,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,0,0,0,0,0,0,0,0,0,10203.268188476563,66734.8720703125,56012.72351074219,2728.7946166992188,16565350400,4294963200,3106390016,897024
200,1743519922709,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,0,0,0,0,0,0,0,0,0,10203.423522949219,66736.75390625,56014.457763671875,2728.803955078125,16565350400,4294963200,3019616256,897024
200,1743519922910,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,7.500000476837158,2.5641026496887207,4.761904716491699,10.256410598754883,0,0,0,4.878048419952393,12.820513725280762,0,0,0,10203.548217773438,66736.86669921875,56014.504455566406,2728.803955078125,16565350400,4294963200,3019620352,897024
200,1743519923110,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,10203.662048339844,66736.91595458984,56014.52380371094,2728.803955078125,16565350400,4294963200,3019620352,897024
200,1743519923311,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,4.761904716491699,0,0,0,0,0,0,0,5,10203.790893554688,66737.04846191406,56014.57781982422,2728.8108520507813,16565350400,4294963200,3019620352,897024
199,1743519923511,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,0,0,0,0,0,0,0,0,0,10203.907836914063,66737.10455322266,56014.597717285156,2728.8108520507813,16565350400,4294963200,3019620352,897024
200,1743519923711,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,0,5,4.761904716491699,0,0,0,0,0,0,10204.029174804688,66737.22338867188,56014.65710449219,2728.8179931640625,16565350400,4294963200,3019616256,897024
200,1743519923912,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,0,0,0,0,0,0,0,0,0,10204.152587890625,66737.29711914063,56014.67529296875,2728.8179931640625,16565350400,4294963200,3019616256,897024
200,1743519924113,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,10204.265991210938,66737.35095214844,56014.69934082031,2728.8179931640625,16565350400,4294963200,3019616256,897024
200,1743519924313,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,5,0,0,0,0,10,0,0,0,0,10204.400512695313,66737.8540649414,56015.09930419922,2728.8380737304688,16565350400,4294963200,3019616256,897024
199,1743519924514,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,10204.516723632813,66737.90319824219,56015.114318847656,2728.8380737304688,16565350400,4294963200,3019616256,897024
200,1743519924713,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,10204.650512695313,66738.54711914063,56015.63415527344,2728.89306640625,16565350400,4294963200,3032064000,897024
199,1743519924914,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,5.128205299377441,45,15.384615898132324,4.878048419952393,12.820513725280762,7.317072868347168,7.500000476837158,7.500000476837158,5,2.5641026496887207,5,12.820513725280762,10204.888244628906,66744.52447509766,56021.23858642578,2729.0016479492188,16565350400,4294963200,3089215488,897024
199,1743519925114,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,100,10,0,0,0,0,0,0,4.761904716491699,5,4.761904716491699,10205.065307617188,66749.62396240234,56025.87713623047,2729.2199096679688,16565350400,4294963200,3093467136,897024
200,1743519925314,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,100,4.761904716491699,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,10205.217041015625,66754.62322998047,56030.48211669922,2729.3784790039063,16565350400,4294963200,3093471232,897024
199,1743519925514,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,65,0,5,5,0,5,5,0,38.095237731933594,0,0,10205.370483398438,66759.5990600586,56035.06903076172,2729.5504760742188,16565350400,4294963200,3093729280,897024
200,1743519925714,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,100,0,0,0,0,0,0,0,0,0,4.761904716491699,10205.5224609375,66764.45263671875,56039.54675292969,2729.7013549804688,16565350400,4294963200,3093729280,897024
199,1743519925914,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,31.57894515991211,0,0,0,0,5,0,0,70,0,0,10205.6748046875,66769.19744873047,56043.94952392578,2729.8272094726563,16565350400,4294963200,3093729280,897024
200,1743519926114,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,5,0,0,5,0,0,0,4.761904716491699,0,100,0,4.761904716491699,10205.827209472656,66773.9262084961,56048.329040527344,2729.9533081054688,16565350400,4294963200,3091218432,897024
200,1743519926314,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,5,4.761904716491699,0,0,0,0,0,100,0,0,10205.98095703125,66778.84985351563,56052.887268066406,2730.102294921875,16565350400,4294963200,3090149376,897024
200,1743519926514,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,0,0,0,4.761904716491699,0,0,100,0,0,10206.132751464844,66783.86669921875,56057.558654785156,2730.2285766601563,16565350400,4294963200,3090149376,897024
200,1743519926714,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,0,0,9.090909004211426,0,0,0,0,100,4.761904716491699,0,10206.284790039063,66788.78912353516,56062.128845214844,2730.3578491210938,16565350400,4294963200,3090149376,897024
200,1743519926914,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,0,4.761904716491699,5,0,0,9.523809432983398,0,4.761904716491699,100,0,0,10206.437438964844,66793.65625,56066.62158203125,2730.4844360351563,16565350400,4294963200,3090403328,897024
200,1743519927114,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,38.095237731933594,5,0,0,4.761904716491699,0,0,0,65,0,0,10206.590026855469,66798.66204833984,56071.314880371094,2730.5799560546875,16565350400,4294963200,3086422016,897024
199,1743519927315,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,65,0,5,0,0,0,4.761904716491699,0,35,0,0,10206.741943359375,66803.578125,56075.890869140625,2730.7120971679688,16565350400,4294963200,3086422016,897024
199,1743519927515,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,15.789472579956055,0,0,0,0,0,5,0,80,0,0,10206.893615722656,66808.44958496094,56080.42028808594,2730.841064453125,16565350400,4294963200,3086422016,897024
199,1743519927715,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,33.333335876464844,5,0,0,5,4.761904716491699,0,0,70,4.761904716491699,0,10207.045104980469,66813.4867553711,56085.08721923828,2730.9835205078125,16565350400,4294963200,3086422016,897024
200,1743519927915,1000,1338,1394,1567,800,800,800,800,1521,1000,1448,1604,0,33.333335876464844,5,0,0,5,4.761904716491699,0,0,70,4.761904716491699,0,10207.197021484375,66818.41485595703,56089.658264160156,2731.1156616210938,16565350400,4294963200,3086675968,897024
