Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743520491577,800,800,800,800,3809,1446,1613,1515,2129,2024,800,3536,11.627907752990723,4.761904716491699,6.818181991577148,4.761904716491699,4.761904716491699,6.976744651794434,6.976744651794434,9.756096839904785,2.4390242099761963,4.651162624359131,6.976744651794434,4.761904716491699,10614.697448730469,69416.70520019531,58262.56262207031,2880.0236206054688,16565350400,4294963200,2753503232,897024
199,1743520491578,800,800,800,800,3809,1446,1613,1515,2129,2024,800,3536,11.627907752990723,4.761904716491699,6.818181991577148,4.761904716491699,4.761904716491699,6.976744651794434,6.976744651794434,9.756096839904785,2.4390242099761963,4.651162624359131,6.976744651794434,4.761904716491699,10614.698059082031,69416.70825195313,58262.565368652344,2880.0236206054688,16565350400,4294963200,2753503232,897024
200,1743520491778,800,800,800,800,3809,1446,1613,1515,2129,2024,800,3536,0,40,0,61.904762268066406,10,0,0,4.761904716491699,0,4.761904716491699,10,13.636363983154297,10614.872680664063,69421.87036132813,58267.495361328125,2880.0272827148438,16565350400,4294963200,2845405184,897024
200,1743520491978,800,800,800,800,3809,1446,1613,1515,2129,2024,800,3536,23.809524536132813,21.052631378173828,60.000003814697266,38.095237731933594,10,20,10,10,10,50,20,22.22222328186035,10615.122253417969,69429.23461914063,58274.47021484375,2880.1173095703125,16565350400,4294963200,2924105728,897024
199,1743520492178,800,800,800,800,3809,1446,1613,1515,2129,2024,800,3536,21.052631378173828,45,20,27.77777862548828,21.052631378173828,25,25,85,33.333335876464844,15.000000953674316,33.333335876464844,20,10615.488525390625,69437.07312011719,58281.876953125,2880.2892456054688,16565350400,4294963200,3070230528,897024
200,1743520492378,800,800,800,800,3809,1446,1613,1515,2129,2024,800,3536,10.526315689086914,14.285715103149414,20,13.636363983154297,23.809524536132813,14.285715103149414,15.000000953674316,26.3157901763916,15.789472579956055,5,0,10,10615.73828125,69439.99584960938,58284.426330566406,2880.3997192382813,16565350400,4294963200,3098136576,897024
200,1743520492579,800,800,800,800,3809,1446,1613,1515,2129,2024,800,3536,10,0,5,0,0,0,5,0,10,0,4.761904716491699,0,10615.894165039063,69440.28802490234,58284.56561279297,2880.4315185546875,16565350400,4294963200,3098640384,897024
200,1743520492779,800,800,800,800,3809,1446,1613,1515,2129,2024,800,3536,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,10616.02734375,69440.43737792969,58284.623291015625,2880.4383544921875,16565350400,4294963200,3098640384,897024
200,1743520492980,800,800,800,800,3809,1446,1613,1515,2129,2024,800,3536,0,0,0,0,0,0,0,0,0,0,0,0,10616.142822265625,69440.49560546875,58284.645080566406,2880.4383544921875,16565350400,4294963200,3098640384,897024
200,1743520493180,800,800,800,800,3809,1446,1613,1515,2129,2024,800,3536,5,0,5,0,5.263157844543457,0,0,0,0,0,0,0,10616.27001953125,69440.70471191406,58284.76208496094,2880.4451904296875,16565350400,4294963200,3098640384,897024
