Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743522015444,2033,1817,1991,1156,1554,1000,999,800,1000,800,1000,1600,9.523809432983398,14.285715103149414,7.142857551574707,9.302325248718262,9.302325248718262,7.142857551574707,9.523809432983398,7.142857551574707,4.878048419952393,7.142857551574707,7.142857551574707,7.142857551574707,11698.702575683594,76100.3402709961,63895.22784423828,3209.3392944335938,16565350400,4294963200,2777817088,897024
199,1743522015445,2033,1817,1991,1156,1554,1000,999,800,1000,800,1000,1600,9.523809432983398,14.285715103149414,7.142857551574707,9.302325248718262,9.302325248718262,7.142857551574707,9.523809432983398,7.142857551574707,4.878048419952393,7.142857551574707,7.142857551574707,7.142857551574707,11698.703308105469,76100.34350585938,63895.229919433594,3209.3392944335938,16565350400,4294963200,2777817088,897024
199,1743522015645,2033,1817,1991,1156,1554,1000,999,800,1000,800,1000,1600,25,45,0,0,10,10.526315689086914,25,0,4.545454502105713,0,0,0,11698.864196777344,76103.30847167969,63897.97393798828,3209.3392944335938,16565350400,4294963200,2831884288,897024
200,1743522015845,2033,1817,1991,1156,1554,1000,999,800,1000,800,1000,1600,25,45,0,0,10,10.526315689086914,25,0,4.545454502105713,0,0,0,11699.073120117188,76110.0043334961,63904.39953613281,3209.34814453125,16565350400,4294963200,2934169600,897024
200,1743522016045,2033,1817,1991,1156,1554,1000,999,800,1000,800,1000,1600,27.5,20,12.5,32.5,45,46.34146499633789,20.512821197509766,25,15.789472579956055,15.000000953674316,38.46154022216797,20.512821197509766,11699.414123535156,76118.0658569336,63911.93927001953,3209.5786743164063,16565350400,4294963200,3072122880,897024
200,1743522016245,2033,1817,1991,1156,1554,1000,999,800,1000,800,1000,1600,15.000000953674316,20,15.000000953674316,65,20,19.047618865966797,20,5.263157844543457,5,21.052631378173828,9.523809432983398,15.000000953674316,11699.720764160156,76123.1851196289,63916.6494140625,3209.7302856445313,16565350400,4294963200,3136782336,897024
200,1743522016445,2033,1817,1991,1156,1554,1000,999,800,1000,800,1000,1600,0,0,10,0,5.263157844543457,5.555555820465088,0,5,0,0,5,14.285715103149414,11699.894409179688,76123.6401977539,63916.89678955078,3209.7804565429688,16565350400,4294963200,3136782336,897024
199,1743522016646,2033,1817,1991,1156,1554,1000,999,800,1000,800,1000,1600,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,11700.026977539063,76123.7984008789,63916.962341308594,3209.7870483398438,16565350400,4294963200,3136782336,897024
199,1743522016846,2033,1817,1991,1156,1554,1000,999,800,1000,800,1000,1600,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,11700.145751953125,76123.8695678711,63916.98681640625,3209.7870483398438,16565350400,4294963200,3136782336,897024
200,1743522017046,2033,1817,1991,1156,1554,1000,999,800,1000,800,1000,1600,0,0,0,4.761904716491699,4.761904716491699,0,0,0,9.523809432983398,0,0,0,11700.261779785156,76124.0107421875,63917.06817626953,3209.7870483398438,16565350400,4294963200,3136782336,897024
