Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743524237705,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,9.523809432983398,6.976744651794434,10,4.761904716491699,4.878048419952393,4.878048419952393,4.878048419952393,7.142857551574707,9.302325248718262,7.142857551574707,4.878048419952393,4.878048419952393,13283.569763183594,85691.52673339844,71962.17181396484,3684.5325927734375,16565350400,4294963200,2752266240,897024
199,1743524237705,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,9.523809432983398,6.976744651794434,10,4.761904716491699,4.878048419952393,4.878048419952393,4.878048419952393,7.142857551574707,9.302325248718262,7.142857551574707,4.878048419952393,4.878048419952393,13283.570556640625,85691.52978515625,71962.17468261719,3684.5325927734375,16565350400,4294963200,2752266240,897024
200,1743524237905,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,9.523809432983398,10.526315689086914,45,0,20,0,23.809524536132813,4.761904716491699,0,0,0,9.523809432983398,13283.734680175781,85695.109375,71965.54284667969,3684.5325927734375,16565350400,4294963200,2829946880,897024
199,1743524238106,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,42.105262756347656,19.047618865966797,70,10,14.285715103149414,31.57894515991211,15.789472579956055,26.3157901763916,0,52.6315803527832,10,9.523809432983398,13283.962158203125,85702.54443359375,71972.6674194336,3684.583251953125,16565350400,4294963200,2905460736,897024
199,1743524238305,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,42.105262756347656,19.047618865966797,70,10,14.285715103149414,31.57894515991211,15.789472579956055,26.3157901763916,0,52.6315803527832,10,9.523809432983398,13284.298217773438,85710.00274658203,71979.61499023438,3684.7885131835938,16565350400,4294963200,3035336704,897024
199,1743524238506,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,20.512821197509766,12.820513725280762,17.5,17.5,10.256410598754883,47.5,19.51219367980957,17.5,24.390243530273438,32.5,28.205129623413086,15.789472579956055,13284.585083007813,85714.365234375,71983.5972290039,3684.9215087890625,16565350400,4294963200,3097116672,897024
199,1743524238706,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,10,5,5,0,0,0,5,0,5,5,0,13284.751770019531,85714.76849365234,71983.80645751953,3684.9650268554688,16565350400,4294963200,3097116672,897024
200,1743524238906,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,5,0,0,0,0,0,0,0,0,5,9.523809432983398,0,13284.885498046875,85714.94226074219,71983.87878417969,3684.9718017578125,16565350400,4294963200,3097116672,897024
199,1743524239107,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,0,13285.002868652344,85715.0083618164,71983.90026855469,3684.9718017578125,16565350400,4294963200,3097116672,897024
200,1743524239307,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,14.285715103149414,0,0,5,0,0,0,4.761904716491699,0,0,0,13285.125122070313,85715.1929321289,71984.00756835938,3684.9796142578125,16565350400,4294963200,3065659392,897024
200,1743524239507,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,0,13285.254638671875,85715.34185791016,71984.072265625,3684.9796142578125,16565350400,4294963200,3065659392,897024
200,1743524239708,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,0,13285.370910644531,85715.42614746094,71984.11456298828,3684.9796142578125,16565350400,4294963200,3065659392,897024
200,1743524239908,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,5,0,13285.498474121094,85715.5712890625,71984.17755126953,3684.9862670898438,16565350400,4294963200,3065905152,897024
199,1743524240109,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,0,13285.616821289063,85715.64196777344,71984.20190429688,3684.9862670898438,16565350400,4294963200,3065905152,897024
199,1743524240309,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,5.263157844543457,9.523809432983398,0,0,0,0,25,10.526315689086914,21.052631378173828,5,0,13285.769287109375,85717.3843383789,71985.80267333984,3684.9948120117188,16565350400,4294963200,3037564928,897024
200,1743524240509,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,0,13285.896301269531,85717.51037597656,71985.85040283203,3684.9949340820313,16565350400,4294963200,3037569024,897024
200,1743524240709,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,0,13286.011047363281,85717.57153320313,71985.87683105469,3684.9949340820313,16565350400,4294963200,3037569024,897024
199,1743524240910,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,0,13286.137023925781,85717.68994140625,71985.92388916016,3685.0017700195313,16565350400,4294963200,3037569024,897024
199,1743524241110,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,13286.255065917969,85717.79028320313,71985.94580078125,3685.0017700195313,16565350400,4294963200,3036286976,897024
199,1743524241310,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,4.761904716491699,0,0,0,0,0,4.761904716491699,13286.375061035156,85717.92059326172,71986.01336669922,3685.0086059570313,16565350400,4294963200,3036286976,897024
200,1743524241511,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,13286.502685546875,85718.03833007813,71986.05639648438,3685.0086059570313,16565350400,4294963200,3036286976,897024
199,1743524241711,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,0,13286.616088867188,85718.08685302734,71986.07495117188,3685.0086059570313,16565350400,4294963200,3036286976,897024
200,1743524241911,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,13286.7431640625,85718.21423339844,71986.12976074219,3685.0155639648438,16565350400,4294963200,3036286976,897024
199,1743524242112,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,0,13286.859436035156,85718.2719116211,71986.14868164063,3685.0155639648438,16565350400,4294963200,3036286976,897024
200,1743524242311,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,0,0,0,0,0,0,0,0,0,0,0,13287.001647949219,85718.84716796875,71986.57702636719,3685.0877075195313,16565350400,4294963200,3047251968,897024
199,1743524242512,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,21.428571701049805,2.5,17.5,2.5641026496887207,5.128205299377441,5,5,7.500000476837158,14.634145736694336,7.692307949066162,25.641027450561523,2.5641026496887207,13287.260009765625,85724.0435180664,71991.30883789063,3685.29931640625,16565350400,4294963200,3116789760,897024
200,1743524242712,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,5,10,4.761904716491699,10,0,0,0,10.526315689086914,30.000001907348633,26.3157901763916,10,13287.454223632813,85724.8306274414,71991.7582397461,3685.4181518554688,16565350400,4294963200,3117723648,897024
200,1743524242912,1000,1000,2827,2355,2588,1000,3021,1132,2590,800,2441,3036,0,4.761904716491699,5,0,14.285715103149414,0,0,0,10,23.809524536132813,19.047618865966797,0,13287.6357421875,85725.39678955078,71992.0609741211,3685.4834594726563,16565350400,4294963200,3124146176,897024
