Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743582298315,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,11.904762268066406,5,5,14.634145736694336,7.317072868347168,4.878048419952393,4.878048419952393,4.878048419952393,4.878048419952393,7.317072868347168,7.142857551574707,5,2141.75439453125,25482.034545898438,21422.815551757813,1843.4713745117188,16565354496,4294963200,3215347712,0
199,1743582298316,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,11.904762268066406,5,5,14.634145736694336,7.317072868347168,4.878048419952393,4.878048419952393,4.878048419952393,4.878048419952393,7.317072868347168,7.142857551574707,5,2141.7551879882813,25482.03759765625,21422.817443847656,1843.4713745117188,16565354496,4294963200,3215347712,0
200,1743582298516,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,15.000000953674316,4.761904716491699,4.761904716491699,28.571430206298828,0,0,5,25,15.789472579956055,0,10.526315689086914,38.095237731933594,2141.9322509765625,25487.230834960938,21427.78436279297,1843.4749145507813,16565354496,4294963200,3296141312,0
199,1743582298716,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,5.263157844543457,45,10.526315689086914,36.842105865478516,15.789472579956055,19.047618865966797,5,20,33.333335876464844,14.285715103149414,14.285715103149414,85,2142.1836547851563,25494.720153808594,21434.891235351563,1843.5599975585938,16565354496,4294963200,3399266304,0
200,1743582298916,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,21.052631378173828,16.666667938232422,38.095237731933594,25,19.047618865966797,25,60.000003814697266,21.052631378173828,31.57894515991211,23.809524536132813,31.57894515991211,52.6315803527832,2142.521728515625,25502.5419921875,21442.24951171875,1843.7351684570313,16565354496,4294963200,3491192832,0
199,1743582299116,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,10,19.047618865966797,5.263157844543457,10.526315689086914,40,10.526315689086914,15.000000953674316,5,5,5.263157844543457,11.111111640930176,0,2142.781005859375,25505.913696289063,21445.241638183594,1843.8528442382813,16565354496,4294963200,3534811136,0
199,1743582299316,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,14.285715103149414,5,9.523809432983398,20,0,4.761904716491699,10,9.523809432983398,0,10,14.285715103149414,10,2142.947509765625,25506.420043945313,21445.527770996094,1843.893798828125,16565354496,4294963200,3534544896,0
200,1743582299516,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,14.285715103149414,5,9.523809432983398,20,0,4.761904716491699,10,9.523809432983398,0,10,14.285715103149414,10,2143.1181640625,25508.726623535156,21447.60272216797,1843.9493408203125,16565354496,4294963200,3556450304,0
199,1743582299717,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,12.820513725280762,5,2.5641026496887207,2.5641026496887207,4.878048419952393,5.128205299377441,0,5,4.878048419952393,2.5641026496887207,7.500000476837158,2.5,2143.248779296875,25508.95391845703,21447.735229492188,1843.9493408203125,16565354496,4294963200,3560321024,0
199,1743582299917,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,0,0,0,4.761904716491699,0,0,0,0,5,0,0,0,2143.376953125,25509.239379882813,21447.921447753906,1843.9561767578125,16565354496,4294963200,3560321024,0
200,1743582300117,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,0,0,4.761904716491699,5,0,0,0,0,0,0,0,0,2143.5045166015625,25509.42889404297,21448.000549316406,1843.9609985351563,16565354496,4294963200,3560321024,0
199,1743582300318,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,2143.6223754882813,25509.55908203125,21448.06610107422,1843.9609985351563,16565354496,4294963200,3560321024,0
200,1743582300518,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,5,5,0,0,4.761904716491699,0,5,5.263157844543457,0,9.090909004211426,0,5,2143.75634765625,25509.959594726563,21448.33074951172,1843.9711303710938,16565354496,4294963200,3486138368,0
200,1743582300718,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,0,0,0,0,0,0,0,0,0,0,5,4.761904716491699,2143.8762817382813,25510.09197998047,21448.404296875,1843.9711303710938,16565354496,4294963200,3486134272,0
200,1743582300919,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,5,25,20,5,0,0,0,5,10.526315689086914,0,5,5,2144.0350952148438,25511.99493408203,21450.132446289063,1843.9976806640625,16565354496,4294963200,3495268352,0
200,1743582301119,1007,999,1000,999,1019,1000,1000,1093,999,1082,999,999,0,0,0,0,0,0,0,0,0,0,0,0,2144.153564453125,25512.10968017578,21450.18389892578,1843.9976806640625,16565354496,4294963200,3495276544,0
