Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743581072414,1088,1005,999,1000,1000,999,1000,1080,1000,999,1000,1002,8.333333969116211,10.256410598754883,7.894736289978027,7.894736289978027,7.692307949066162,16.216215133666992,5.405405521392822,5.263157844543457,7.894736289978027,7.692307949066162,2.702702760696411,5.405405521392822,1067.4297485351563,11302.251708984375,9460.658874511719,576.369140625,16565354496,4294963200,3237130240,0
199,1743581072414,1088,1005,999,1000,1000,999,1000,1080,1000,999,1000,1002,8.333333969116211,10.256410598754883,7.894736289978027,7.894736289978027,7.692307949066162,16.216215133666992,5.405405521392822,5.263157844543457,7.894736289978027,7.692307949066162,2.702702760696411,5.405405521392822,1067.430419921875,11302.255676269531,9460.661804199219,576.369140625,16565354496,4294963200,3237396480,0
199,1743581072614,1088,1005,999,1000,1000,999,1000,1080,1000,999,1000,1002,0,0,10,0,15.000000953674316,28.571430206298828,40,20,0,0,0,0,1067.5918579101563,11305.355834960938,9463.541442871094,576.369140625,16565354496,4294963200,3313397760,0
199,1743581072814,1088,1005,999,1000,1000,999,1000,1080,1000,999,1000,1002,19.047618865966797,15.789472579956055,5,35,60.000003814697266,40,14.285715103149414,38.095237731933594,30.000001907348633,5,14.285715103149414,23.809524536132813,1067.8076171875,11312.253356933594,9470.160888671875,576.3787841796875,16565354496,4294963200,3379441664,0
199,1743581073014,1088,1005,999,1000,1000,999,1000,1080,1000,999,1000,1002,19.047618865966797,15.789472579956055,5,35,60.000003814697266,40,14.285715103149414,38.095237731933594,30.000001907348633,5,14.285715103149414,23.809524536132813,1068.15478515625,11320.804260253906,9478.233215332031,576.544677734375,16565354496,4294963200,3490091008,0
200,1743581073214,1088,1005,999,1000,1000,999,1000,1080,1000,999,1000,1002,13.51351261138916,22.5,15.000000953674316,20.512821197509766,35,43.589744567871094,45,22.5,30.000001907348633,27.5,20.512821197509766,20,1068.46923828125,11326.963806152344,9483.958801269531,576.69384765625,16565354496,4294963200,3574464512,0
200,1743581073415,1088,1005,999,1000,1000,999,1000,1080,1000,999,1000,1002,0,5.263157844543457,10,10,5,14.285715103149414,5,0,9.523809432983398,5.263157844543457,5,0,1068.6670532226563,11328.369934082031,9485.090637207031,576.7600708007813,16565354496,4294963200,3582894080,0
200,1743581073615,1088,1005,999,1000,1000,999,1000,1080,1000,999,1000,1002,0,0,0,0,0,0,0,0,0,0,0,0,1068.7963256835938,11328.601318359375,9485.177856445313,576.7672119140625,16565354496,4294963200,3582894080,0
200,1743581073816,1088,1005,999,1000,1000,999,1000,1080,1000,999,1000,1002,0,0,0,0,0,0,0,0,0,0,0,0,1068.9124145507813,11328.677612304688,9485.204833984375,576.7672119140625,16565354496,4294963200,3582894080,0
199,1743581074016,1088,1005,999,1000,1000,999,1000,1080,1000,999,1000,1002,0,0,0,0,5,0,0,0,0,4.761904716491699,0,0,1069.031005859375,11328.825134277344,9485.289978027344,576.7672119140625,16565354496,4294963200,3582894080,0
