Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743688593227,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,13.636363983154297,8.88888931274414,4.651162624359131,4.651162624359131,4.651162624359131,17.39130401611328,6.818181991577148,6.6666669845581055,6.818181991577148,8.69565200805664,9.090909004211426,6.6666669845581055,473.6627197265625,3156.7110595703125,2366.187744140625,68.24444580078125,16565338112,4294963200,2398085120,0
199,1743688593228,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,13.636363983154297,8.88888931274414,4.651162624359131,4.651162624359131,4.651162624359131,17.39130401611328,6.818181991577148,6.6666669845581055,6.818181991577148,8.69565200805664,9.090909004211426,6.6666669845581055,473.66351318359375,3156.71533203125,2366.1898803710938,68.24444580078125,16565338112,4294963200,2398085120,0
200,1743688593428,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,0,23.809524536132813,40,4.545454502105713,31.81818199157715,0,38.095237731933594,5,30.000001907348633,0,4.761904716491699,0,473.85107421875,3162.6785888671875,2371.6080322265625,68.25390625,16565338112,4294963200,2488971264,0
199,1743688593628,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,5.263157844543457,78.94737243652344,76.19047546386719,10.526315689086914,10,20,30.000001907348633,5.263157844543457,35,15.000000953674316,0,10,474.0953369140625,3170.2660522460938,2378.6021118164063,68.291259765625,16565338112,4294963200,2563584000,0
200,1743688593828,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,5.263157844543457,78.94737243652344,76.19047546386719,10.526315689086914,10,20,30.000001907348633,5.263157844543457,35,15.000000953674316,0,10,474.32220458984375,3177.256591796875,2384.9698486328125,68.32568359375,16565338112,4294963200,2582843392,0
200,1743688594028,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,15.384615898132324,19.51219367980957,25,10,50,23.076923370361328,7.692307949066162,15.789472579956055,51.28205490112305,29.268291473388672,12.5,12.5,474.60467529296875,3182.4895629882813,2389.5860595703125,68.3900146484375,16565338112,4294963200,2717577216,0
199,1743688594228,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,0,20,5,0,0,0,0,27.272727966308594,0,20,0,0,474.80230712890625,3183.8489990234375,2390.3739013671875,68.45831298828125,16565338112,4294963200,2747711488,0
200,1743688594429,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,5.263157844543457,15.789472579956055,4.761904716491699,0,4.761904716491699,0,0,10,0,0,0,0,474.94171142578125,3184.4970092773438,2390.5357055664063,68.47918701171875,16565338112,4294963200,2747969536,0
200,1743688594629,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,0,4.761904716491699,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,475.0711669921875,3184.9942626953125,2390.587890625,68.4827880859375,16565338112,4294963200,2748194816,0
199,1743688594829,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,0,0,0,0,0,0,0,0,5,0,0,0,475.18756103515625,3185.535400390625,2390.7177124023438,68.4827880859375,16565338112,4294963200,2748194816,0
200,1743688595030,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,0,0,0,0,0,0,0,0,0,5,0,0,475.31793212890625,3186.094482421875,2390.83056640625,68.48724365234375,16565338112,4294963200,2748194816,0
199,1743688595230,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,475.43743896484375,3186.5543212890625,2390.8721923828125,68.48724365234375,16565338112,4294963200,2748194816,0
200,1743688595430,1078,1366,2274,1009,3678,4021,3546,4060,2742,2629,1110,2378,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,475.55340576171875,3187.0447998046875,2390.9632568359375,68.48724365234375,16565338112,4294963200,2752897024,0
