Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743689037676,1340,2284,2615,3213,800,1085,2613,800,800,800,3674,800,11.111111640930176,13.043478012084961,4.545454502105713,4.44444465637207,4.545454502105713,2.2727272510528564,4.545454502105713,6.5217390060424805,4.545454502105713,4.44444465637207,4.44444465637207,2.2727272510528564,782.2405395507813,5600.381652832031,3780.082763671875,100.39959716796875,16565338112,4294963200,2411499520,0
199,1743689037676,1340,2284,2615,3213,800,1085,2613,800,800,800,3674,800,11.111111640930176,13.043478012084961,4.545454502105713,4.44444465637207,4.545454502105713,2.2727272510528564,4.545454502105713,6.5217390060424805,4.545454502105713,4.44444465637207,4.44444465637207,2.2727272510528564,782.2413330078125,5600.3863525390625,3780.0850830078125,100.39959716796875,16565338112,4294963200,2411499520,0
200,1743689037876,1340,2284,2615,3213,800,1085,2613,800,800,800,3674,800,15.789472579956055,21.052631378173828,4.761904716491699,0,0,0,20,0,0,0,4.761904716491699,70,782.4038696289063,5604.832763671875,3784.0206909179688,100.39996337890625,16565338112,4294963200,2479804416,0
200,1743689038076,1340,2284,2615,3213,800,1085,2613,800,800,800,3674,800,90.47618865966797,28.571430206298828,14.285715103149414,10,10,15.789472579956055,47.36842346191406,10.526315689086914,15.000000953674316,40,5.263157844543457,33.333335876464844,782.6399536132813,5612.6063232421875,3791.204345703125,100.422607421875,16565338112,4294963200,2553475072,0
199,1743689038276,1340,2284,2615,3213,800,1085,2613,800,800,800,3674,800,26.3157901763916,10.526315689086914,15.000000953674316,5.263157844543457,5.263157844543457,19.047618865966797,14.285715103149414,15.000000953674316,89.47368621826172,36.842105865478516,60.000003814697266,15.000000953674316,782.8793334960938,5620.2213134765625,3798.168701171875,100.47271728515625,16565338112,4294963200,2572505088,0
200,1743689038476,1340,2284,2615,3213,800,1085,2613,800,800,800,3674,800,21.052631378173828,15.000000953674316,10,40,5.263157844543457,15.789472579956055,15.789472579956055,25,36.3636360168457,22.72727394104004,5,30.000001907348633,783.165283203125,5626.3603515625,3803.673095703125,100.55224609375,16565338112,4294963200,2727043072,0
200,1743689038677,1340,2284,2615,3213,800,1085,2613,800,800,800,3674,800,4.761904716491699,5,0,0,10,0,0,30.000001907348633,15.000000953674316,0,0,0,783.3755493164063,5628.824279785156,3805.5159912109375,100.65118408203125,16565338112,4294963200,2748522496,0
199,1743689038877,1340,2284,2615,3213,800,1085,2613,800,800,800,3674,800,0,0,0,4.761904716491699,0,15.000000953674316,0,15.000000953674316,0,0,0,4.761904716491699,783.5199584960938,5629.5050048828125,3805.6928100585938,100.67523193359375,16565338112,4294963200,2748522496,0
200,1743689039077,1340,2284,2615,3213,800,1085,2613,800,800,800,3674,800,0,0,0,0,0,5,0,0,0,0,0,0,783.6522216796875,5630.02099609375,3805.7518920898438,100.6817626953125,16565338112,4294963200,2748522496,0
200,1743689039278,1340,2284,2615,3213,800,1085,2613,800,800,800,3674,800,0,4.761904716491699,0,0,9.523809432983398,0,0,0,0,0,0,0,783.7681274414063,5630.559509277344,3805.8803100585938,100.6817626953125,16565338112,4294963200,2748522496,0
